epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,727.815,1.72853,1.36008,1.24943,0.22764,0.19634,0.16922,0.08959,1.53689,1.10321,1.16749,0.0700034,0.00333295,0.00333295
2,1634.48,1.60479,1.17671,1.1884,0.4474,0.23296,0.21492,0.1184,1.42147,0.94183,1.10525,0.0399374,0.00660029,0.00660029
3,2552.92,1.54145,1.09766,1.15354,0.51656,0.25841,0.23552,0.13177,1.37757,0.89031,1.08037,0.00980544,0.00980163,0.00980163
4,3467.53,1.49433,1.04448,1.13081,0.54689,0.26858,0.25097,0.14182,1.35055,0.85991,1.06371,0.009703,0.009703,0.009703
5,4270.64,1.46255,1.00646,1.11298,0.53147,0.28204,0.26409,0.15065,1.33707,0.83702,1.05348,0.009604,0.009604,0.009604
6,5185.68,1.44482,0.98445,1.10352,0.55056,0.28981,0.27763,0.16001,1.32421,0.82051,1.04583,0.009505,0.009505,0.009505
7,6074.2,1.42868,0.96377,1.09517,0.55317,0.29294,0.28593,0.16621,1.31545,0.80895,1.03991,0.009406,0.009406,0.009406
8,6939.42,1.41925,0.95439,1.09148,0.54595,0.29961,0.29355,0.17127,1.308,0.79976,1.03579,0.009307,0.009307,0.009307
9,7853.42,1.41058,0.94285,1.08602,0.54019,0.30974,0.29856,0.17546,1.30306,0.79327,1.03295,0.009208,0.009208,0.009208
10,8766.94,1.396,0.92714,1.08025,0.54786,0.31053,0.3023,0.17781,1.29961,0.78869,1.03085,0.009109,0.009109,0.009109
11,9681.74,1.38885,0.91832,1.07543,0.56565,0.30864,0.30555,0.18026,1.29632,0.78562,1.02863,0.00901,0.00901,0.00901
12,10595.4,1.3829,0.91329,1.0728,0.57206,0.30589,0.30826,0.18248,1.29393,0.78395,1.02693,0.008911,0.008911,0.008911
13,11510.1,1.37682,0.90509,1.07054,0.5767,0.30519,0.31047,0.18382,1.29174,0.7834,1.02572,0.008812,0.008812,0.008812
14,12370.1,1.37097,0.90156,1.06879,0.57941,0.30607,0.31235,0.18498,1.28947,0.78356,1.02474,0.008713,0.008713,0.008713
15,13257.6,1.36618,0.8948,1.06609,0.57893,0.30858,0.3135,0.18605,1.28754,0.78457,1.02363,0.008614,0.008614,0.008614
16,14172.1,1.35973,0.88838,1.0633,0.58125,0.30699,0.31363,0.18657,1.28577,0.78587,1.02234,0.008515,0.008515,0.008515
17,15086.4,1.35853,0.88595,1.06116,0.58003,0.30823,0.31397,0.18721,1.28442,0.78807,1.02114,0.008416,0.008416,0.008416
18,16000.2,1.35563,0.88256,1.05995,0.58136,0.30674,0.31388,0.1875,1.28315,0.79126,1.02006,0.008317,0.008317,0.008317
19,16914.9,1.35079,0.87769,1.05893,0.58088,0.30462,0.3131,0.18766,1.28201,0.7953,1.01897,0.008218,0.008218,0.008218
20,17828.7,1.34633,0.87294,1.05649,0.58892,0.30307,0.31325,0.18766,1.2809,0.79879,1.01801,0.008119,0.008119,0.008119
21,18712.1,1.34528,0.87134,1.05575,0.59342,0.30052,0.31341,0.18798,1.27971,0.80079,1.01727,0.00802,0.00802,0.00802
22,19625.6,1.34469,0.8685,1.05327,0.6016,0.29939,0.31359,0.18842,1.27852,0.80329,1.0165,0.007921,0.007921,0.007921
23,20511.4,1.34264,0.86801,1.05251,0.59857,0.30037,0.31438,0.18918,1.27706,0.80401,1.01572,0.007822,0.007822,0.007822
24,21425.6,1.33824,0.86455,1.05081,0.60191,0.30025,0.31548,0.19016,1.27551,0.8036,1.01485,0.007723,0.007723,0.007723
25,22314.6,1.33806,0.86262,1.04922,0.60518,0.30013,0.31695,0.19128,1.27434,0.80282,1.01391,0.007624,0.007624,0.007624
26,23205.2,1.33711,0.85884,1.04798,0.61231,0.2993,0.31797,0.19237,1.27307,0.80216,1.01301,0.007525,0.007525,0.007525
27,24119.2,1.33453,0.85922,1.04745,0.61143,0.29988,0.31949,0.19354,1.27178,0.8003,1.01211,0.007426,0.007426,0.007426
28,25033.5,1.3333,0.85598,1.04628,0.61527,0.30039,0.32105,0.19472,1.27067,0.79827,1.01108,0.007327,0.007327,0.007327
29,25947.3,1.32894,0.85382,1.04409,0.6223,0.30285,0.32298,0.19588,1.26991,0.79608,1.01006,0.007228,0.007228,0.007228
30,26861,1.32695,0.84941,1.04301,0.62545,0.30549,0.32525,0.19738,1.26874,0.79264,1.00911,0.007129,0.007129,0.007129
31,27702.7,1.32616,0.84944,1.04361,0.62763,0.30765,0.32728,0.19882,1.26763,0.78909,1.00814,0.00703,0.00703,0.00703
32,28618.3,1.32342,0.8461,1.04228,0.62871,0.30975,0.32967,0.20022,1.26662,0.78526,1.00741,0.006931,0.006931,0.006931
33,29533.5,1.32275,0.84551,1.04132,0.63036,0.31099,0.33152,0.20147,1.26581,0.7821,1.00657,0.006832,0.006832,0.006832
34,30420,1.31995,0.84265,1.04053,0.63325,0.3116,0.33347,0.20301,1.26468,0.77825,1.00571,0.006733,0.006733,0.006733
35,31336.5,1.32088,0.84119,1.04023,0.63182,0.31383,0.33608,0.20447,1.2636,0.77414,1.0049,0.006634,0.006634,0.006634
36,32251.4,1.31504,0.83957,1.03814,0.63735,0.31394,0.33794,0.2056,1.2624,0.7702,1.004,0.006535,0.006535,0.006535
37,33164.4,1.31246,0.8376,1.03737,0.63084,0.31721,0.34071,0.20678,1.26121,0.76643,1.00317,0.006436,0.006436,0.006436
38,34078.1,1.3137,0.83561,1.03804,0.63402,0.31889,0.34262,0.20787,1.26002,0.76278,1.00249,0.006337,0.006337,0.006337
39,34992,1.30981,0.83394,1.03595,0.63138,0.32187,0.34476,0.20912,1.2588,0.75955,1.00156,0.006238,0.006238,0.006238
40,35903.6,1.30852,0.83159,1.03617,0.63691,0.32282,0.34709,0.21064,1.25767,0.75604,1.00097,0.006139,0.006139,0.006139
41,36817.2,1.30735,0.83046,1.03563,0.63381,0.32445,0.34966,0.21213,1.25682,0.75288,1.00038,0.00604,0.00604,0.00604
42,37730,1.30611,0.8278,1.03441,0.63269,0.3261,0.35098,0.21289,1.25603,0.75015,0.99966,0.005941,0.005941,0.005941
43,38643.2,1.30513,0.82645,1.03302,0.63374,0.32691,0.35214,0.21359,1.25522,0.74714,0.99895,0.005842,0.005842,0.005842
44,39555.4,1.30514,0.82719,1.03119,0.63608,0.32708,0.35363,0.21461,1.25456,0.74428,0.99829,0.005743,0.005743,0.005743
45,40467.9,1.30387,0.82579,1.03237,0.63822,0.32688,0.35501,0.21566,1.25374,0.74225,0.99764,0.005644,0.005644,0.005644
46,41380.4,1.30374,0.82397,1.032,0.641,0.3276,0.35669,0.21661,1.25275,0.74007,0.99707,0.005545,0.005545,0.005545
47,42294.3,1.30064,0.82163,1.03119,0.64216,0.33107,0.3584,0.21769,1.25165,0.73791,0.9965,0.005446,0.005446,0.005446
48,43208.2,1.3011,0.82405,1.03155,0.64088,0.33337,0.36032,0.21839,1.25088,0.73591,0.996,0.005347,0.005347,0.005347
49,44122.3,1.29904,0.81846,1.0307,0.63348,0.33581,0.36113,0.21894,1.25012,0.73401,0.99544,0.005248,0.005248,0.005248
50,45035,1.29523,0.81712,1.02939,0.64591,0.33221,0.36249,0.21955,1.24925,0.7326,0.99488,0.005149,0.005149,0.005149
51,45948.6,1.2952,0.81704,1.0297,0.64646,0.33457,0.36384,0.22039,1.24861,0.73103,0.99433,0.00505,0.00505,0.00505
52,46861.1,1.296,0.81537,1.02993,0.64583,0.33466,0.36483,0.22114,1.2479,0.7296,0.99407,0.004951,0.004951,0.004951
53,47772.9,1.29382,0.81512,1.02934,0.6469,0.33529,0.36608,0.22165,1.24744,0.72871,0.99368,0.004852,0.004852,0.004852
54,48685.6,1.29095,0.81323,1.02686,0.64565,0.33651,0.3668,0.22214,1.24705,0.72753,0.99335,0.004753,0.004753,0.004753
55,49599.2,1.28944,0.81051,1.02714,0.64647,0.33846,0.36759,0.22262,1.24649,0.72648,0.99297,0.004654,0.004654,0.004654
56,50512.3,1.28992,0.80809,1.02706,0.64396,0.33981,0.36793,0.22311,1.24607,0.72544,0.99258,0.004555,0.004555,0.004555
57,51425.1,1.28868,0.80988,1.02605,0.64955,0.33701,0.36858,0.22355,1.24579,0.72449,0.99214,0.004456,0.004456,0.004456
58,52338.6,1.28778,0.8077,1.02578,0.64972,0.33765,0.36936,0.2243,1.24527,0.72366,0.99173,0.004357,0.004357,0.004357
59,53250.8,1.28634,0.80635,1.02516,0.64754,0.33856,0.37022,0.22481,1.24498,0.72299,0.99134,0.004258,0.004258,0.004258
60,54162.6,1.2869,0.80746,1.02542,0.65082,0.33796,0.37076,0.22515,1.24463,0.72225,0.99095,0.004159,0.004159,0.004159
61,55076,1.2833,0.80529,1.02427,0.65272,0.33813,0.37128,0.22553,1.24423,0.72171,0.99052,0.00406,0.00406,0.00406
62,55988.7,1.28327,0.80457,1.0241,0.65699,0.3384,0.37194,0.22574,1.24382,0.72133,0.9903,0.003961,0.003961,0.003961
