epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,650.377,1.32916,0.85095,1.06702,0.23592,0.08398,0.0327,0.01491,1.281,0.78664,1.04408,0.0700034,0.00333295,0.00333295
2,1461.71,1.30459,0.82272,1.05776,0.26418,0.08665,0.04462,0.02187,1.25448,0.72258,1.033,0.0398714,0.00653429,0.00653429
3,2178.62,1.30313,0.8165,1.05554,0.25841,0.08731,0.04368,0.02118,1.25005,0.71601,1.03108,0.00960744,0.00960363,0.00960363
4,3001.32,1.2996,0.81298,1.05499,0.26295,0.08764,0.04917,0.02533,1.24322,0.71291,1.0291,0.009406,0.009406,0.009406
5,3854.08,1.29733,0.81058,1.05282,0.26238,0.08682,0.0456,0.02293,1.24362,0.70775,1.0292,0.009208,0.009208,0.009208
6,4703.35,1.29786,0.81021,1.0533,0.26097,0.08811,0.04597,0.02325,1.24102,0.70524,1.02759,0.00901,0.00901,0.00901
7,5558.52,1.29529,0.80736,1.05222,0.25766,0.09281,0.04641,0.02292,1.23915,0.70362,1.0272,0.008812,0.008812,0.008812
8,6380.43,1.29682,0.80939,1.05397,0.25337,0.09287,0.04526,0.02245,1.23737,0.7025,1.02627,0.008614,0.008614,0.008614
9,7229.35,1.29645,0.80701,1.05239,0.25342,0.0962,0.04721,0.02398,1.23534,0.70057,1.02566,0.008416,0.008416,0.008416
10,8082.09,1.28981,0.80311,1.05057,0.2581,0.08985,0.04694,0.02377,1.23424,0.69929,1.02493,0.008218,0.008218,0.008218
11,8935.09,1.28833,0.79984,1.04879,0.25994,0.08865,0.04754,0.0243,1.23343,0.69819,1.02441,0.00802,0.00802,0.00802
12,9794.25,1.28667,0.79885,1.04865,0.26218,0.08562,0.04785,0.02448,1.23279,0.6971,1.02403,0.007822,0.007822,0.007822
13,10650.9,1.28526,0.79689,1.04836,0.25982,0.08843,0.04818,0.02473,1.23212,0.69647,1.0238,0.007624,0.007624,0.007624
14,11506.2,1.28172,0.79505,1.04743,0.25988,0.08797,0.04849,0.02485,1.23119,0.69549,1.02352,0.007426,0.007426,0.007426
