epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,516.814,1.36243,0.8261,1.07135,0.39067,0.16682,0.13387,0.07557,1.27867,0.76351,1.04935,0.0700034,0.00333295,0.00333295
2,988.78,1.33735,0.79291,1.05929,0.38234,0.1934,0.14174,0.0803,1.25109,0.72062,1.03362,0.0393435,0.00600632,0.00600632
3,1459.03,1.32586,0.77631,1.05294,0.39079,0.17748,0.14086,0.08231,1.24542,0.71204,1.02914,0.0080235,0.00801969,0.00801969
4,1925.4,1.31821,0.7683,1.04974,0.381,0.18877,0.1404,0.07962,1.24,0.70743,1.02618,0.00703,0.00703,0.00703
5,2390.7,1.31266,0.76102,1.047,0.37807,0.18864,0.14099,0.08155,1.23675,0.70251,1.02534,0.00604,0.00604,0.00604
6,2853.74,1.30265,0.7513,1.04299,0.3928,0.18445,0.1426,0.08244,1.23381,0.6998,1.02365,0.00505,0.00505,0.00505
7,3314.54,1.29715,0.74448,1.04048,0.37256,0.19349,0.14171,0.08198,1.23114,0.69665,1.0225,0.00406,0.00406,0.00406
8,3775.16,1.29095,0.7373,1.0384,0.36975,0.19564,0.14184,0.08166,1.22998,0.69362,1.02169,0.00307,0.00307,0.00307
9,4250.64,1.28509,0.72921,1.03568,0.38465,0.18517,0.14229,0.08156,1.22935,0.69242,1.02134,0.00208,0.00208,0.00208
10,4728.16,1.2767,0.72182,1.03297,0.37525,0.19102,0.14235,0.08148,1.22844,0.69161,1.02098,0.00109,0.00109,0.00109
