epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,453.67,1.705,1.32439,1.24337,0.25872,0.2204,0.1851,0.09751,1.51856,1.04515,1.15568,0.0700034,0.00333295,0.00333295
2,962.076,1.5853,1.14764,1.18996,0.49051,0.25155,0.21989,0.12146,1.41322,0.91584,1.11025,0.0399374,0.00660029,0.00660029
3,1806.47,1.52547,1.07271,1.15537,0.49851,0.27672,0.2448,0.13739,1.36735,0.86377,1.08145,0.00980544,0.00980163,0.00980163
4,2569.96,1.48072,1.02197,1.13281,0.50481,0.28636,0.25894,0.14668,1.34083,0.83551,1.06789,0.009703,0.009703,0.009703
5,794.148,1.45692,0.98996,1.1306,0.53989,0.28598,0.27421,0.15663,1.33686,0.81681,1.07943,0.009604,0.009604,0.009604
6,1617.9,1.43498,0.96439,1.1207,0.55091,0.29526,0.28857,0.16476,1.3242,0.8012,1.07201,0.009505,0.009505,0.009505
7,2381.47,1.41951,0.94325,1.1115,0.5616,0.29953,0.29756,0.17251,1.3131,0.78969,1.06644,0.009406,0.009406,0.009406
8,3235.1,1.40462,0.92736,1.1049,0.57083,0.30533,0.30671,0.17868,1.30383,0.77928,1.06138,0.009307,0.009307,0.009307
9,4073.84,1.39585,0.91638,1.09869,0.42731,0.30696,0.31221,0.18261,1.29893,0.77292,1.05814,0.009208,0.009208,0.009208
10,4941.78,1.39015,0.90965,1.09613,0.59463,0.30706,0.31566,0.18523,1.29525,0.76828,1.05589,0.009109,0.009109,0.009109
11,5776.94,1.38097,0.89879,1.09145,0.59756,0.30902,0.31941,0.18742,1.29192,0.76485,1.05401,0.00901,0.00901,0.00901
12,6646.62,1.37627,0.89511,1.09052,0.60402,0.30893,0.32188,0.18905,1.28913,0.76235,1.0527,0.008911,0.008911,0.008911
13,7515.3,1.37137,0.88752,1.08684,0.60514,0.31213,0.32392,0.19099,1.28686,0.76061,1.05152,0.008812,0.008812,0.008812
14,8385,1.36109,0.87937,1.08342,0.60818,0.31499,0.32624,0.19259,1.28466,0.75943,1.05066,0.008713,0.008713,0.008713
15,9253.68,1.35585,0.87281,1.08038,0.60852,0.31498,0.32765,0.19375,1.2827,0.75875,1.04989,0.008614,0.008614,0.008614
16,10076.2,1.35296,0.86933,1.07951,0.61264,0.31352,0.32795,0.1945,1.28107,0.75849,1.04914,0.008515,0.008515,0.008515
17,10950.3,1.34791,0.86332,1.07684,0.6162,0.31161,0.32942,0.19505,1.27933,0.7579,1.04841,0.008416,0.008416,0.008416
18,11823.3,1.3438,0.86113,1.0761,0.61915,0.31241,0.33034,0.19602,1.27759,0.75743,1.04781,0.008317,0.008317,0.008317
19,12659,1.3406,0.85682,1.07456,0.6163,0.31319,0.33128,0.19676,1.27582,0.75737,1.04716,0.008218,0.008218,0.008218
20,13531.2,1.33722,0.85283,1.07316,0.61794,0.31396,0.33197,0.19755,1.27416,0.75739,1.04645,0.008119,0.008119,0.008119
21,14370.6,1.33531,0.85051,1.07115,0.61776,0.31489,0.33303,0.19811,1.27277,0.75719,1.04578,0.00802,0.00802,0.00802
22,15243.7,1.33488,0.84914,1.07043,0.6211,0.31587,0.33455,0.19904,1.27136,0.75688,1.04495,0.007921,0.007921,0.007921
23,16117.8,1.33075,0.84451,1.06978,0.61223,0.31989,0.33508,0.19988,1.26993,0.75618,1.04418,0.007822,0.007822,0.007822
24,16959.1,1.32573,0.84033,1.06758,0.61349,0.32143,0.33615,0.2008,1.2685,0.75511,1.04338,0.007723,0.007723,0.007723
25,17802.6,1.32307,0.83835,1.06643,0.61555,0.32234,0.33811,0.20205,1.26731,0.75368,1.04268,0.007624,0.007624,0.007624
26,18658.3,1.32117,0.83273,1.06505,0.61225,0.32563,0.33922,0.20294,1.26622,0.75185,1.04191,0.007525,0.007525,0.007525
27,19468,1.32008,0.83483,1.06493,0.61152,0.32654,0.34102,0.20405,1.26468,0.74997,1.04108,0.007426,0.007426,0.007426
28,20342.4,1.31549,0.83209,1.06397,0.61483,0.32768,0.3427,0.20515,1.2631,0.74807,1.04023,0.007327,0.007327,0.007327
29,21218.6,1.31502,0.82898,1.06226,0.62018,0.32929,0.34535,0.20619,1.26164,0.74598,1.03938,0.007228,0.007228,0.007228
30,22065.5,1.31514,0.82536,1.06137,0.62321,0.32937,0.34628,0.20737,1.26027,0.74369,1.03857,0.007129,0.007129,0.007129
31,22936.7,1.31242,0.82638,1.06115,0.62434,0.33172,0.34822,0.20845,1.259,0.74142,1.03783,0.00703,0.00703,0.00703
32,23809.8,1.31195,0.82262,1.05978,0.62241,0.33224,0.34982,0.20956,1.25754,0.73911,1.03704,0.006931,0.006931,0.006931
33,24657.4,1.30783,0.8207,1.05851,0.62574,0.32933,0.35144,0.2106,1.25633,0.73654,1.0363,0.006832,0.006832,0.006832
34,25533.3,1.30598,0.81861,1.05728,0.62565,0.33065,0.35329,0.21163,1.25515,0.73427,1.03562,0.006733,0.006733,0.006733
35,26408.6,1.30598,0.81775,1.05801,0.62342,0.3328,0.35491,0.21278,1.25396,0.7321,1.03494,0.006634,0.006634,0.006634
36,27254.3,1.30226,0.81386,1.05642,0.62713,0.33047,0.35604,0.21356,1.25299,0.73005,1.03428,0.006535,0.006535,0.006535
37,28095,1.30333,0.81439,1.05671,0.62421,0.33457,0.35748,0.2142,1.25193,0.72796,1.03359,0.006436,0.006436,0.006436
38,28968.4,1.29893,0.81126,1.05503,0.62522,0.3355,0.35907,0.21515,1.25092,0.72572,1.03298,0.006337,0.006337,0.006337
39,29845,1.30117,0.81084,1.05547,0.63055,0.33499,0.36046,0.2164,1.25004,0.72358,1.0324,0.006238,0.006238,0.006238
40,30677.6,1.29553,0.80888,1.05367,0.62947,0.33488,0.36156,0.21713,1.24923,0.72173,1.0319,0.006139,0.006139,0.006139
41,31550.8,1.2941,0.8061,1.05334,0.62853,0.33751,0.36342,0.21805,1.24842,0.7199,1.03151,0.00604,0.00604,0.00604
42,32361.5,1.29623,0.80575,1.05437,0.62824,0.33953,0.36498,0.21898,1.24758,0.71826,1.03105,0.005941,0.005941,0.005941
43,33175.8,1.29263,0.80482,1.0527,0.62992,0.34125,0.36619,0.21962,1.24674,0.71671,1.03056,0.005842,0.005842,0.005842
44,34048.1,1.2898,0.80244,1.05144,0.63096,0.3415,0.36721,0.22047,1.24606,0.71529,1.03016,0.005743,0.005743,0.005743
45,34919.8,1.28904,0.80113,1.0517,0.63438,0.34201,0.36842,0.22137,1.24524,0.71391,1.02963,0.005644,0.005644,0.005644
46,35793.4,1.28833,0.79861,1.05098,0.6404,0.34296,0.36973,0.22213,1.24451,0.71259,1.02929,0.005545,0.005545,0.005545
47,36664.9,1.28808,0.79854,1.05044,0.6442,0.34212,0.37036,0.22264,1.24381,0.71149,1.02894,0.005446,0.005446,0.005446
48,37538.6,1.28778,0.79872,1.04826,0.64622,0.34371,0.37156,0.22327,1.24318,0.71043,1.02856,0.005347,0.005347,0.005347
49,38409.5,1.28668,0.79718,1.04948,0.64999,0.34348,0.37202,0.22361,1.2424,0.70942,1.02825,0.005248,0.005248,0.005248
50,39278.3,1.28634,0.79544,1.04914,0.65373,0.34345,0.37306,0.22422,1.24158,0.70846,1.02797,0.005149,0.005149,0.005149
51,40148.9,1.28294,0.79312,1.04791,0.65259,0.34546,0.37394,0.22479,1.24098,0.70762,1.02772,0.00505,0.00505,0.00505
52,41019.4,1.28306,0.79472,1.04815,0.65579,0.34517,0.37494,0.22522,1.24053,0.70678,1.02751,0.004951,0.004951,0.004951
53,41889.6,1.28198,0.79057,1.04777,0.65296,0.34804,0.37615,0.22583,1.24001,0.70598,1.02714,0.004852,0.004852,0.004852
54,42758.9,1.27829,0.78919,1.04631,0.6554,0.34702,0.37689,0.2261,1.23965,0.70517,1.02697,0.004753,0.004753,0.004753
55,43630.8,1.27849,0.78876,1.0468,0.65605,0.34731,0.37724,0.22671,1.23926,0.70441,1.02679,0.004654,0.004654,0.004654
56,44500.6,1.27923,0.78696,1.04695,0.65582,0.34764,0.37762,0.22691,1.2387,0.70371,1.02656,0.004555,0.004555,0.004555
57,45370.7,1.27644,0.78682,1.04633,0.65691,0.34741,0.37831,0.22725,1.23829,0.70316,1.02628,0.004456,0.004456,0.004456
58,46240.2,1.27486,0.78494,1.04404,0.66056,0.34782,0.37829,0.2276,1.23772,0.70252,1.02602,0.004357,0.004357,0.004357
59,47111.3,1.27367,0.78309,1.04437,0.66028,0.34873,0.3789,0.2279,1.23719,0.70185,1.02571,0.004258,0.004258,0.004258
60,47984.4,1.27383,0.78077,1.04434,0.65882,0.34879,0.37944,0.22819,1.23666,0.70116,1.02539,0.004159,0.004159,0.004159
61,48854.1,1.27274,0.78262,1.04423,0.65785,0.34895,0.38026,0.22884,1.23614,0.70056,1.02507,0.00406,0.00406,0.00406
62,49725.4,1.2724,0.78075,1.04328,0.65344,0.35075,0.38064,0.22903,1.23573,0.70017,1.02484,0.003961,0.003961,0.003961
63,50596.1,1.27001,0.77973,1.04243,0.65439,0.35123,0.3813,0.22948,1.2351,0.69962,1.02453,0.003862,0.003862,0.003862
64,51465.1,1.27191,0.78082,1.04337,0.65441,0.35086,0.3815,0.22966,1.23485,0.69914,1.02434,0.003763,0.003763,0.003763
65,52338.5,1.26801,0.77974,1.043,0.65148,0.35244,0.38211,0.23002,1.23431,0.69857,1.02414,0.003664,0.003664,0.003664
66,53211.5,1.26868,0.77776,1.04207,0.64953,0.35407,0.38262,0.23038,1.23392,0.69814,1.02396,0.003565,0.003565,0.003565
67,54084,1.26539,0.77491,1.04114,0.65371,0.35354,0.38298,0.23047,1.23352,0.69755,1.02369,0.003466,0.003466,0.003466
68,54954.5,1.26668,0.77368,1.04056,0.65666,0.35295,0.38305,0.23069,1.23329,0.69707,1.0235,0.003367,0.003367,0.003367
69,55823.8,1.26368,0.77358,1.04006,0.6526,0.35382,0.38325,0.23106,1.23306,0.69661,1.02335,0.003268,0.003268,0.003268
70,56698,1.26229,0.77068,1.0393,0.65287,0.35571,0.3837,0.23111,1.23274,0.69615,1.02313,0.003169,0.003169,0.003169
71,57570.4,1.262,0.76974,1.03853,0.65152,0.35671,0.38396,0.23145,1.23242,0.69573,1.02294,0.00307,0.00307,0.00307
72,58440.2,1.26299,0.76876,1.03919,0.65455,0.35603,0.38407,0.2317,1.2322,0.69547,1.0228,0.002971,0.002971,0.002971
73,59311,1.26154,0.76877,1.03909,0.65578,0.35628,0.38436,0.23183,1.2318,0.69499,1.02261,0.002872,0.002872,0.002872
74,60184.8,1.25889,0.76698,1.03809,0.65794,0.35552,0.38474,0.23207,1.2315,0.69456,1.02243,0.002773,0.002773,0.002773
75,61059.2,1.25681,0.76648,1.03825,0.65799,0.35617,0.38502,0.23213,1.2311,0.69431,1.02226,0.002674,0.002674,0.002674
76,61933.5,1.25799,0.76556,1.03746,0.6575,0.35564,0.385,0.23231,1.23063,0.6939,1.02199,0.002575,0.002575,0.002575
77,62803.2,1.2595,0.76658,1.03795,0.65465,0.35857,0.38593,0.23272,1.23029,0.69362,1.02186,0.002476,0.002476,0.002476
78,63678.9,1.25555,0.76343,1.03704,0.6555,0.35813,0.38586,0.23285,1.23008,0.69341,1.02173,0.002377,0.002377,0.002377
79,64551.1,1.25404,0.76222,1.03652,0.65741,0.35821,0.38612,0.23315,1.22968,0.69316,1.02148,0.002278,0.002278,0.002278
80,65382.8,1.25387,0.76156,1.03594,0.65952,0.35752,0.38673,0.23365,1.22938,0.69294,1.02128,0.002179,0.002179,0.002179
81,66256.5,1.25191,0.75978,1.03482,0.65825,0.358,0.38706,0.23372,1.22917,0.69261,1.02113,0.00208,0.00208,0.00208
82,67128.9,1.25188,0.75852,1.03482,0.65425,0.3588,0.38717,0.23373,1.22888,0.69244,1.02098,0.001981,0.001981,0.001981
83,67966.9,1.25032,0.75829,1.03436,0.65439,0.35792,0.38735,0.23386,1.2287,0.6922,1.02086,0.001882,0.001882,0.001882
84,68809.5,1.24835,0.75626,1.03374,0.65536,0.3571,0.38739,0.23403,1.22851,0.69202,1.02071,0.001783,0.001783,0.001783
85,69682,1.24871,0.75737,1.03387,0.65856,0.35661,0.38781,0.23425,1.22836,0.69179,1.02057,0.001684,0.001684,0.001684
86,70555.3,1.2496,0.75554,1.03282,0.65846,0.35798,0.38806,0.23432,1.22817,0.69164,1.02037,0.001585,0.001585,0.001585
87,71429,1.24809,0.75359,1.03311,0.65765,0.35839,0.38815,0.23455,1.22793,0.69137,1.02026,0.001486,0.001486,0.001486
88,72303,1.24696,0.75551,1.03437,0.65825,0.35842,0.38824,0.23461,1.22771,0.69119,1.02005,0.001387,0.001387,0.001387
89,73177.5,1.24458,0.7514,1.03218,0.65596,0.36009,0.38808,0.23458,1.22747,0.69107,1.01986,0.001288,0.001288,0.001288
90,74013.2,1.2442,0.75112,1.03216,0.65535,0.36074,0.38827,0.23477,1.22727,0.6908,1.01973,0.001189,0.001189,0.001189
91,74883.7,1.28389,0.72576,1.03492,0.65648,0.36101,0.38863,0.23489,1.22701,0.69061,1.0196,0.00109,0.00109,0.00109
92,75756.3,1.27879,0.72309,1.03349,0.66005,0.36042,0.38886,0.23512,1.22666,0.6904,1.01941,0.000991,0.000991,0.000991
93,76562.4,1.27702,0.71947,1.03252,0.66072,0.3606,0.38919,0.23532,1.22636,0.69001,1.01929,0.000892,0.000892,0.000892
94,77434,1.27613,0.71932,1.03134,0.6591,0.36131,0.38903,0.23544,1.22602,0.68962,1.01907,0.000793,0.000793,0.000793
95,78306.7,1.27498,0.71706,1.0311,0.65899,0.36109,0.38917,0.23554,1.22576,0.68935,1.01889,0.000694,0.000694,0.000694
96,79151,1.27395,0.71674,1.03048,0.65957,0.36176,0.38947,0.23581,1.22542,0.68906,1.01871,0.000595,0.000595,0.000595
97,79981.7,1.27318,0.7156,1.03034,0.66162,0.3605,0.38961,0.236,1.22517,0.6888,1.01859,0.000496,0.000496,0.000496
98,80853.1,1.2714,0.71411,1.03024,0.6619,0.36145,0.38997,0.23607,1.22495,0.68857,1.01849,0.000397,0.000397,0.000397
99,81725.9,1.27104,0.71402,1.02998,0.66022,0.36203,0.39012,0.23615,1.22477,0.68838,1.01838,0.000298,0.000298,0.000298
100,82599.4,1.27024,0.71235,1.02866,0.66254,0.36175,0.39026,0.23619,1.22462,0.68819,1.01825,0.000199,0.000199,0.000199
